filename,width,height,class,xmin,ymin,xmax,ymax
3c95b9d96507d903_jpg.rf.fd29e5454becead6f000ee89ff1ac7a7.jpg,416,416,Picture-frame,112,147,302,230
3ea01f40bd6e732b_jpg.rf.fc8d71f54b992246c53a9d1b23e077eb.jpg,416,416,Picture-frame,196,80,383,220
db2475b71f8caef3_jpg.rf.fd26b126389c3aac05f43621cd0bdada.jpg,416,416,Picture-frame,189,0,252,108
13e0df4b94cf670a_jpg.rf.fd1e65aede53ce2eef853b6e963433dc.jpg,416,416,Picture-frame,38,226,266,399
97b23fd01e078f4e_jpg.rf.fcf10b4c55ba55041bf02028efba67ec.jpg,416,416,Picture-frame,47,21,278,148
187b328c7816d4f2_jpg.rf.fd5d0deaa5b494b727e3c13a0a110e53.jpg,416,416,Picture-frame,62,7,402,415
854062ff0a778de2_jpg.rf.fcbc173d997b87b7c4a74e593d2b1df2.jpg,416,416,Picture-frame,92,18,321,278
4fbb904fc70b9522_jpg.rf.fd97c513d6b2f2384c7d052430b9f110.jpg,416,416,Picture-frame,63,110,351,326
d17aeb78d03dcb7c_jpg.rf.fcaec6a85c03127be8cc9003ba7455e1.jpg,416,416,Picture-frame,22,29,373,380
5a91555e07cab9c0_jpg.rf.fd7d420640c107d88927c56095b56be9.jpg,416,416,Picture-frame,20,46,400,349
2addbe85beabc134_jpg.rf.fd94310913e66131631f5c07c3c053c0.jpg,416,416,Picture-frame,98,13,343,397
21bb363260879ed5_jpg.rf.fe38221fefb5515f98b86aead23bbdbe.jpg,416,416,Picture-frame,210,21,397,255
f9e89a08127741d0_jpg.rf.fca43a45c99e2d0ae9df62ee3797a98f.jpg,416,416,Picture-frame,155,103,415,415
094c3da259692e1a_jpg.rf.fd6d367420db70016461d8871b775333.jpg,416,416,Picture-frame,7,62,396,375
8568cc47cb3016c7_jpg.rf.fda50998edf1f27ef7c97c7f91b11dcc.jpg,416,416,Picture-frame,17,46,407,376
5571d091a1d5237d_jpg.rf.fd3e984b59517dc381195d62b4dffc54.jpg,416,416,Picture-frame,53,44,239,361
ab1dbb187ffcc69c_jpg.rf.fe996237787ba1bdc69dd4078384c6b0.jpg,416,416,Picture-frame,325,13,415,116
b03546cb2bceec26_jpg.rf.fdf705bb729d3224c243ffa65269c628.jpg,416,416,Picture-frame,77,59,307,350
9702ddc8e6b2c50b_jpg.rf.fef6afccc573cac061a4fc471f755989.jpg,416,416,Picture-frame,64,67,355,351
048fac24f58f4a3c_jpg.rf.ff28b8c3de8653910dcb74ec8a45b995.jpg,416,416,Picture-frame,129,35,409,373
6cab6b1006715438_jpg.rf.fef88bda2618998f878847b33b05b79d.jpg,416,416,Picture-frame,20,50,404,387
ca30970b46d14d0c_jpg.rf.fe54357eda1dcde94301debce2eab424.jpg,416,416,Picture-frame,0,65,413,372
